County of County_Animals,Year of County_Animals,HOGS - INVENTORY,TURKEYS - INVENTORY
KANABEC,2016,,
KANABEC,2017,902,47
KANABEC,2018,,
KANABEC,2019,,
KANABEC,2020,,
KANABEC,2021,,
KANABEC,2022,,22
KANABEC,2023,,
KANDIYOHI,2010,,
KANDIYOHI,2011,,
KANDIYOHI,2012,86583,2557432
KANDIYOHI,2013,,
KANDIYOHI,2014,,
KANDIYOHI,2015,,
KANDIYOHI,2016,,
KANDIYOHI,2017,85372,2294399
KANDIYOHI,2018,,
KANDIYOHI,2019,,
KANDIYOHI,2020,,
KANDIYOHI,2021,,
KANDIYOHI,2022,137155,2441677
KANDIYOHI,2023,,
KITTSON,2010,,
KITTSON,2011,,
KITTSON,2012,,
KITTSON,2013,,
KITTSON,2014,,
KITTSON,2015,,
KITTSON,2016,,
KITTSON,2017,,
KITTSON,2018,,
KITTSON,2019,,
KITTSON,2020,,
KITTSON,2021,,
KITTSON,2022,,
KITTSON,2023,,
KOOCHICHING,2010,,
KOOCHICHING,2011,,
KOOCHICHING,2012,52,
KOOCHICHING,2013,,
KOOCHICHING,2014,,
KOOCHICHING,2015,,
KOOCHICHING,2016,,
KOOCHICHING,2017,6,
KOOCHICHING,2018,,
KOOCHICHING,2019,,
KOOCHICHING,2020,,
KOOCHICHING,2021,,
KOOCHICHING,2022,15,
KOOCHICHING,2023,,
LAC QUI PARLE,2010,,
LAC QUI PARLE,2011,,
LAC QUI PARLE,2012,97508,
LAC QUI PARLE,2013,,
LAC QUI PARLE,2014,,
LAC QUI PARLE,2015,,
LAC QUI PARLE,2016,,
LAC QUI PARLE,2017,148837,
LAC QUI PARLE,2018,,
LAC QUI PARLE,2019,,
LAC QUI PARLE,2020,,
LAC QUI PARLE,2021,,
LAC QUI PARLE,2022,159369,
LAC QUI PARLE,2023,,
LAKE,2010,,
LAKE,2011,,
LAKE,2012,,
LAKE,2013,,
LAKE,2014,,
LAKE,2015,,
LAKE,2016,,
LAKE,2017,21,11
LAKE,2018,,
LAKE,2019,,
LAKE,2020,,
LAKE,2021,,
LAKE,2022,,40
LAKE,2023,,
LAKE OF THE WOODS,2010,,
LAKE OF THE WOODS,2011,,
LAKE OF THE WOODS,2012,32,18
LAKE OF THE WOODS,2013,,
LAKE OF THE WOODS,2014,,
LAKE OF THE WOODS,2015,,
LAKE OF THE WOODS,2016,,
LAKE OF THE WOODS,2017,,9
LAKE OF THE WOODS,2018,,
LAKE OF THE WOODS,2019,,
LAKE OF THE WOODS,2020,,
LAKE OF THE WOODS,2021,,
LAKE OF THE WOODS,2022,6,26
LAKE OF THE WOODS,2023,,
LE SUEUR,2010,,
LE SUEUR,2011,,
LE SUEUR,2012,135687,71046
LE SUEUR,2013,,
LE SUEUR,2014,,
LE SUEUR,2015,,
LE SUEUR,2016,,
LE SUEUR,2017,98131,101014
LE SUEUR,2018,,
LE SUEUR,2019,,
LE SUEUR,2020,,
LE SUEUR,2021,,
